Tiempo (s),v_aproximada (m/s)
0.0,0.0
0.2,1.9620000000000002
0.4,3.8259000000000003
0.6000000000000001,5.596605
0.8,7.27877475
1.0,8.8768360125
1.2,10.394994211875
1.4,11.83724450128125
1.5999999999999999,13.207382276217187
1.7999999999999998,14.509013162406328
1.9999999999999998,15.745562504286012
2.1999999999999997,16.92028437907171
2.4,18.036270160118125
2.6,19.09645665211222
2.8000000000000003,20.10363381950661
3.0000000000000004,21.060452128531278
3.2000000000000006,21.969429522104715
3.400000000000001,22.83295804599948
3.600000000000001,23.653310143699507
3.800000000000001,24.43264463651453
4.000000000000001,25.173012404688805
4.200000000000001,25.876361784454364
4.400000000000001,26.544543695231646
4.600000000000001,27.179316510470063
4.800000000000002,27.78235068494656
5.000000000000002,28.355233150699235
5.200000000000002,28.899471493164274
5.400000000000002,29.41649791850606
5.600000000000002,29.907673022580756
5.8000000000000025,30.374289371451717
6.000000000000003,30.81757490287913
6.200000000000003,31.238696157735173
6.400000000000003,31.638761349848416
6.600000000000003,32.018823282355996
6.800000000000003,32.37988211823819
7.0000000000000036,32.72288801232628
7.200000000000004,33.048743611709966
7.400000000000004,33.35830643112447
7.600000000000004,33.65239110956824
7.800000000000004,33.93177155408983
8.000000000000004,34.197182976385335
8.200000000000003,34.44932382756607
8.400000000000002,34.68885763618776
8.600000000000001,34.91641475437837
8.8,35.13259401665945
9.0,35.33796431582648
9.2,35.53306610003516
9.399999999999999,35.7184127950334
9.599999999999998,35.89449215528173
9.799999999999997,36.06176754751765
9.999999999999996,36.220679170141764
