Tiempo (min),T (Euler),T (Exacta)
0.0,90.0,90.0
1.0,85.45,85.60559829388663
2.0,81.2185,81.50828530092238
3.0,77.28320500000001,77.68797598806216
4.0,73.62338065,74.12594319462215
5.0,70.2197440045,70.80472583171638
6.0,67.054361924185,67.70804328797868
7.0,64.11055658949205,64.82071562198703
8.0,61.37281762822761,62.128589150172964
9.0,58.82672039425167,59.618467065448314
10.0,56.45884996665406,57.278044746441616
11.0,54.25673046898827,55.09584944022983
12.0,52.20875933615909,53.061184022890174
13.0,50.30414618262795,51.164074562186336
14.0,48.532855949844,49.395221425340964
15.0,46.885556033354916,47.7459536922251
16.0,45.35356711102007,46.20818665049757
17.0,43.928817413248666,44.77438216433576
18.0,42.60380019432126,43.43751172248507
19.0,41.37153418071877,42.19102198448856
20.0,40.22552678806846,41.02880265620442
21.0,39.15973991290367,39.945156537137045
22.0,38.16855811900041,38.93477159275356
23.0,37.24675905067038,37.992694914884396
24.0,36.38948591712345,37.11430844256165
25.0,35.59222190292481,36.29530632427893
26.0,34.85076636972008,35.531673810702245
27.0,34.16121272383967,34.819667574364104
28.0,33.51992783317089,34.155797359867925
29.0,32.923532884848925,33.536808874652046
30.0,32.3688855829095,32.95966783644383
